class_or_average,precision,recall,f1-score,support,dataset
0,0.5639097744360902,0.8620689655172413,0.6818181818181818,87.0,cyber
1,0.0,0.0,0.0,17.0,cyber
2,0.2222222222222222,0.06666666666666667,0.10256410256410256,30.0,cyber
3,0.0,0.0,0.0,16.0,cyber
accuracy,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333,cyber
macro avg,0.19653299916457811,0.232183908045977,0.19609557109557108,150.0,cyber
weighted avg,0.37151211361737674,0.5133333333333333,0.41596736596736594,150.0,cyber
0,0.9999768770088099,1.0,0.9999884383707353,43246.0,video
1,1.0,0.9998949027850762,0.9999474486310368,9515.0,video
accuracy,0.9999810466063949,0.9999810466063949,0.9999810466063949,0.9999810466063949,video
macro avg,0.9999884385044049,0.9999474513925382,0.999967943500886,52761.0,video
weighted avg,0.9999810470446541,0.9999810466063949,0.9999810462179475,52761.0,video
