dataset,noise,f1_mean,f1_std
cyber,0.0,0.41596736596736594,0.0
cyber,0.03571428571428571,0.41853904648597345,0.012170065476986071
cyber,0.07142857142857142,0.4262976456758293,0.019782169324364857
cyber,0.10714285714285714,0.40950678634844556,0.022198910268922647
cyber,0.14285714285714285,0.41248834896533804,0.025240627957449562
cyber,0.17857142857142855,0.39309913858703677,0.02614585354564759
cyber,0.21428571428571427,0.38315217876363017,0.037450133043218474
cyber,0.25,0.3832697299710554,0.03472115051227724
video,0.0,0.9999474486310367,1.1102230246251565e-16
video,0.03571428571428571,0.9999474486310367,1.1102230246251565e-16
video,0.07142857142857142,0.9999474486310367,1.1102230246251565e-16
video,0.10714285714285714,0.9999474486310367,1.1102230246251565e-16
video,0.14285714285714285,0.9999395662018424,2.5064913372323564e-05
video,0.17857142857142855,0.9998397357196683,9.172060253003243e-05
video,0.21428571428571427,0.9985929169816508,0.00022164686259808295
video,0.25,0.9933568305392818,0.0007141917671861
